City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Adrar,MR,86.76,few clouds,20.5022,-10.0711,
26,Teseney,ER,89.64,clear sky,15.11,36.6575,Sabrin Hotel
30,Beira,MZ,80.69,clear sky,-19.8436,34.8389,Beira Terrace Hotel
45,Cabo San Lucas,MX,85.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
49,Nagua,DO,89.46,few clouds,19.3832,-69.8474,Hotel Cambri
53,Oriximina,BR,88.84,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
54,Hithadhoo,MV,82.4,overcast clouds,-0.6,73.0833,Scoop Guest House
57,Urucui,BR,90.54,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
67,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,East Arnhem Real Estate
72,Topolobampo,MX,82.06,broken clouds,25.6,-109.05,Hotel Marina Topolobampo
77,Oussouye,SN,96.98,scattered clouds,12.485,-16.5469,Auberge du Routard
88,Kavieng,PG,83.23,broken clouds,-2.5744,150.7967,Nusa Island Retreat
90,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
100,Pedernales,DO,85.96,few clouds,18.0384,-71.744,Hotel Costa Marina
101,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
103,Mecca,SA,81.32,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
118,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
129,Jatai,BR,91.78,broken clouds,-17.8814,-51.7144,La Vitre Hotel
140,Porteirinha,BR,86.45,broken clouds,-15.7433,-43.0283,Portal Palace Hotel
143,Puerto Colombia,CO,87.89,broken clouds,10.9878,-74.9547,Hotel El Emigrante
145,Sabancuy,MX,80.08,broken clouds,18.9667,-91.1833,Casa Chakchel
154,Upata,VE,81.55,overcast clouds,8.0086,-62.3989,Posada Villa Nela
163,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
167,Vila Do Maio,CV,86.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
175,Barbosa Ferraz,BR,86.29,scattered clouds,-24.03,-52.0117,Edicula Sanches
191,Tabatinga,BR,87.89,few clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
193,Maragogi,BR,84.43,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
194,Kudahuvadhoo,MV,82.72,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
197,Jieshi,CN,80.94,light rain,22.8134,115.8257,Yuehai Hotel
200,Gweta,BW,87.51,overcast clouds,-20.1833,25.2333,Gweta Lodge
202,Kulhudhuffushi,MV,81.46,broken clouds,6.6221,73.07,Haajy Guest House 1
204,Liwale,TZ,82.65,broken clouds,-9.7667,37.9333,Samoma lodge
207,Sorong,ID,80.67,overcast clouds,-0.8833,131.25,waigo splash hotel
209,Sola,VU,80.13,overcast clouds,-13.8833,167.55,Leumerus Bungalows
213,Wukari,NG,87.19,broken clouds,7.85,9.7833,Elimtop
214,Acapulco,MX,83.52,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
215,Hun,LY,80.76,clear sky,29.1268,15.9477,Alrwasi Hotel
230,Potam,MX,81.91,few clouds,27.6,-110.3833,Ejido La Pimienta
246,Caravelas,BR,80.38,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
255,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
280,Pointe Michel,DM,90.54,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
284,Tual,ID,83.48,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
293,Samarai,PG,82.2,broken clouds,-10.6167,150.6667,Nuli Sapi
299,Fomboni,KM,81.27,scattered clouds,-12.28,43.7425,Auberge les abou
304,Vung Tau,VN,80.58,broken clouds,10.346,107.0843,Green hotel
306,Santa Cruz Cabralia,BR,80.83,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
315,Aquiraz,BR,91.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
316,Tshane,BW,90.39,scattered clouds,-24.0196,21.8684,
318,Simi,SL,88.74,few clouds,9.5667,-12.35,
319,Giyani,ZA,85.57,broken clouds,-23.3025,30.7187,Kulani Country Lodge
328,Veraval,IN,80.44,overcast clouds,20.9,70.3667,Lords Inn Somnath
333,Santo Antonio Do Ica,BR,85.01,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
