City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bartica,GY,2021-11-06 16:54:13,6.4,-58.6167,77.32,92,100,4.38,moderate rain
1,Adrar,MR,2021-11-06 16:54:13,20.5022,-10.0711,86.76,18,12,9.57,few clouds
2,Iranshahr,IR,2021-11-06 16:54:14,27.2025,60.6848,79.14,24,0,0.0,clear sky
3,Rikitea,PF,2021-11-06 16:54:14,-23.1203,-134.9692,75.18,81,100,16.49,overcast clouds
4,Atuona,PF,2021-11-06 16:54:15,-9.8,-139.0333,77.99,75,39,16.87,scattered clouds
5,Busselton,AU,2021-11-06 16:54:15,-33.65,115.3333,46.09,82,0,10.04,clear sky
6,Porvoo,FI,2021-11-06 16:54:16,60.3923,25.6651,39.24,82,64,11.48,broken clouds
7,Bambous Virieux,MU,2021-11-06 16:54:17,-20.3428,57.7575,76.21,83,40,11.5,scattered clouds
8,Ushuaia,AR,2021-11-06 16:49:35,-54.8,-68.3,49.66,50,75,16.11,broken clouds
9,Albany,US,2021-11-06 16:45:51,42.6001,-73.9662,50.81,60,16,1.97,few clouds
10,Tuktoyaktuk,CA,2021-11-06 16:54:18,69.4541,-133.0374,21.2,79,90,13.8,overcast clouds
11,Torbay,CA,2021-11-06 16:54:18,47.6666,-52.7314,41.29,79,75,17.27,light rain
12,New Norfolk,AU,2021-11-06 16:54:19,-42.7826,147.0587,54.9,61,84,1.99,broken clouds
13,Port Augusta,AU,2021-11-06 16:54:20,-32.5,137.7667,61.7,77,100,14.72,overcast clouds
14,Punta Arenas,CL,2021-11-06 16:50:05,-53.15,-70.9167,53.71,62,75,6.91,broken clouds
15,Bud,US,2021-11-06 16:54:20,39.447,-86.1758,54.84,50,8,5.01,clear sky
16,Mataura,NZ,2021-11-06 16:49:30,-46.1927,168.8643,50.49,98,66,0.89,broken clouds
17,Luderitz,NA,2021-11-06 16:54:21,-26.6481,15.1594,65.52,61,100,25.41,overcast clouds
18,Bluff,NZ,2021-11-06 16:54:22,-46.6,168.3333,50.81,86,78,4.03,broken clouds
19,Kapaa,US,2021-11-06 16:49:48,22.0752,-159.319,75.52,80,90,1.01,light rain
20,East London,ZA,2021-11-06 16:54:22,-33.0153,27.9116,68.94,68,40,9.22,scattered clouds
21,Jamestown,US,2021-11-06 16:53:35,42.097,-79.2353,50.52,50,1,5.99,clear sky
22,Kodiak,US,2021-11-06 16:54:23,57.79,-152.4072,31.75,75,56,11.56,broken clouds
23,Mar Del Plata,AR,2021-11-06 16:54:24,-38.0023,-57.5575,55.42,79,75,8.99,broken clouds
24,Worland,US,2021-11-06 16:54:24,44.0169,-107.9554,60.67,33,99,10.8,overcast clouds
25,Cape Town,ZA,2021-11-06 16:49:45,-33.9258,18.4232,64.81,57,20,1.99,few clouds
26,Teseney,ER,2021-11-06 16:54:25,15.11,36.6575,89.64,22,10,8.39,clear sky
27,Port Alfred,ZA,2021-11-06 16:49:40,-33.5906,26.891,63.36,81,100,4.94,overcast clouds
28,Port Elizabeth,ZA,2021-11-06 16:54:26,-33.918,25.5701,64.09,82,90,8.05,overcast clouds
29,Gamba,GA,2021-11-06 16:54:26,-2.65,10.0,78.51,85,92,8.59,overcast clouds
30,Beira,MZ,2021-11-06 16:54:27,-19.8436,34.8389,80.69,78,0,8.99,clear sky
31,Hobart,AU,2021-11-06 16:52:13,-42.8794,147.3294,55.26,70,90,3.0,overcast clouds
32,Chuy,UY,2021-11-06 16:54:27,-33.6971,-53.4616,66.81,53,97,14.43,overcast clouds
33,Yulara,AU,2021-11-06 16:54:28,-25.2406,130.9889,69.64,83,90,3.44,overcast clouds
34,Yellowknife,CA,2021-11-06 16:51:09,62.456,-114.3525,30.42,99,75,6.91,broken clouds
35,Camacha,PT,2021-11-06 16:54:29,33.0833,-16.3333,65.62,60,75,14.97,broken clouds
36,Mananjary,MG,2021-11-06 16:54:29,-21.2167,48.3333,72.81,88,96,1.72,light rain
37,Saldanha,ZA,2021-11-06 16:54:30,-33.0117,17.9442,64.45,69,99,17.83,overcast clouds
38,Saint-Leu,RE,2021-11-06 16:54:30,-21.15,55.2833,74.26,94,7,10.47,clear sky
39,Qaanaaq,GL,2021-11-06 16:54:31,77.484,-69.3632,8.22,72,99,7.92,overcast clouds
40,Saskylakh,RU,2021-11-06 16:54:32,71.9167,114.0833,7.54,90,100,15.3,overcast clouds
